nace_r2,indic_sb,geo\time	2015 	2012 	2009 
B0620,V15441,IT	14.3 	6.1 	: c
B0620,V15441,LT	0.0 	0.0 	0.0 
B0620,V15441,LU	0.0 	0.0 	0.0 
B0620,V15441,LV	0.0 	0.0 	0.0 
B0620,V15441,MT	0.0 	0.0 	0.0 
B0620,V15441,NL	: c	: c	: c
B0620,V15441,NO	0.0 	: c	: c
B0620,V15441,PL	: cd	: 	0.0 d
B0620,V15441,PT	0.0 	0.0 	0.0 
B0620,V15441,RO	: c	: c	: c
B0620,V15441,SI	: c	0.0 	: c
B0620,V15441,SK	0.0 	0.0 	: c
B0620,V15441,UK	: c	0.0 	: c
B07,V15420,AT	: c	: c	: c
B07,V15420,BE	0.0 	0.0 	: c
B07,V15420,BG	6.3 	: c	: c
B07,V15420,CY	0.0 	0.0 	0.0 
B07,V15420,CZ	: c	: c	: c
B07,V15420,DE	: c	0.0 	0.0 
B07,V15420,EE	0.0 	0.0 	0.0 
B07,V15420,EL	0.0 b	0.0 	0.0 
B07,V15420,ES	6.1 	0.0 	1.2 
B07,V15420,FI	0.0 	0.0 	0.0 
